id,packsize,quantity,cost,delivery,discount,discountCode,tubeCost,url
,,10,1.6,4.98,,,,https://www.notino.co.uk/aquafresh/intense-clean-deep-action/
,12,,28.45,,,,,https://www.amazon.co.uk/dp/B01N4DVESM
,6,,35.69,3.98,,,,https://www.amazon.co.uk/dp/B01M4P2HAT
,4,,24.39,4.49,,,,https://www.amazon.co.uk/dp/B01M2ADWB6
,2,,11.9,3.89,,,,https://www.amazon.co.uk/dp/B01M4OXX33
,,,6.65,,,,,https://www.amazon.co.uk/dp/B079Q7RQ9Y
,12,,57.99,,,,,https://www.ebay.co.uk/itm/303432679156
,12,,42.36,,,,,https://www.ebay.co.uk/itm/202978137179
,12,,42.25,,,,,https://www.ebay.co.uk/itm/303563414922
,12,,38.89,,,,,https://www.ebay.co.uk/itm/324171325256
,6,4,34.49,3.99,,,,https://www.ebay.co.uk/itm/313019012778
,2,4,11.5,3.99,,,,https://www.ebay.co.uk/itm/313019012344
,,4,5.74,3.99,,,,https://www.ebay.co.uk/itm/313019012108
,,,6.45,,,,,https://www.ebay.co.uk/itm/153103159436
,,20,2.5,,5,5OFFLIV3,,https://skwilliamsstore.co.uk/Detail_i4839180
,,20,2.5,,5,5OFFLIV3,,https://www.chemistdirect.co.uk/prd-0145509
,2,,44,,,,,https://uk.ninthavenue.com/products/aquafresh-intense-deep-action-75ml-pack-of-2
